timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
10364106,0.00111382,0.000252736,0.00104136,4000,0,0.412921,0.0163762,-9.73782,4000
10368109,-0.000250481,0.000461314,6.38218e-05,4003,0,0.445047,0.0227073,-9.70439,4003
10372105,-0.00122053,0.000260205,0.00058618,3996,0,0.425969,0.0565223,-9.74036,3996
10376107,0.00218373,-0.00123841,0.000752758,4002,0,0.428263,0.0221168,-9.74003,4002
10380105,0.00279572,0.000166312,0.00256346,3998,0,0.445019,0.016656,-9.73726,3998
10384105,-0.000264479,-0.000274655,0.000708857,4000,0,0.429412,0.0420386,-9.74631,4000
10388105,0.0016642,-0.00304799,-8.57143e-05,4000,0,0.413614,0.0332484,-9.70881,4000
10392105,0.0038923,0.000245178,0.00023333,4000,0,0.432983,-0.00266426,-9.67058,4000
10396105,-0.00132963,0.00163242,0.0007813,4000,0,0.434927,0.0185472,-9.70986,4000
10400105,-0.000124391,0.00150949,-0.00164584,4000,0,0.413217,0.0452581,-9.72521,4000
10404105,0.000361702,-0.00133496,0.00158097,4000,0,0.415595,0.0212384,-9.71966,4000
10408105,-0.00168166,0.00251867,0.00321704,4000,0,0.420924,0.0379408,-9.72065,4000
10412109,0.0017543,-0.00176697,0.000855969,4004,0,0.414642,0.0478632,-9.75337,4004
10416105,0.00372281,-0.00191261,-0.00273112,3996,0,0.425578,0.00279028,-9.75469,3996
10420108,0.00186155,0.00111248,0.00104982,4003,0,0.443733,0.016915,-9.71099,4003
10424105,0.00209185,-0.00209306,-0.000303915,3997,0,0.414069,0.0558383,-9.71335,3997
10428105,0.00114689,-0.000406859,-0.00129245,4000,0,0.420419,0.00722955,-9.69427,4000
10432111,0.00250563,0.00195697,0.000734571,4006,0,0.433716,0.0080568,-9.68203,4006
10436109,-0.00115043,0.00135177,0.00270719,3998,0,0.41832,0.0612652,-9.70711,3998
10440108,0.00164424,-0.0020923,0.000856359,3999,0,0.401531,0.0173501,-9.74669,3999
10444107,0.00014419,-0.000475828,0.00210305,3999,0,0.419155,0.00237318,-9.72983,3999
10448108,-0.000478246,0.000688293,0.000803425,4001,0,0.420199,0.0517737,-9.73507,4001
10452107,-0.000626352,-0.00163817,0.00337746,3999,0,0.422746,0.0337809,-9.72505,3999
10456111,0.00132759,0.00174963,0.00124558,4004,0,0.436897,0.00214993,-9.70531,4004
10460901,0.00191728,-0.000265014,-0.000164592,4790,0,0.441392,0.0156906,-9.70756,4790
10464902,0.00372077,-0.000527877,-0.00220841,4001,0,0.42666,0.036614,-9.7597,4001
10468902,0.00241226,-0.000180766,-0.000316261,4000,0,0.426535,0.0133382,-9.7485,4000
10472901,0.00273867,0.00013363,-0.000846568,3999,0,0.439483,-0.00149673,-9.75247,3999
10476908,-3.6708e-05,0.00120605,-0.000258323,4007,0,0.414846,0.0332786,-9.76313,4007
10480901,-0.000497866,-0.000483103,0.00209382,3993,0,0.418566,0.0202239,-9.72869,3993
10484901,0.00162171,0.000486272,0.00232634,4000,0,0.440078,0.0031721,-9.72967,4000
10488901,0.00089482,0.0015383,0.00156125,4000,0,0.409616,0.0263547,-9.73458,4000
10492903,0.00241235,0.000671344,-0.000324164,4002,0,0.41506,0.031351,-9.71499,4002
10496904,0.00186554,-6.7523e-05,0.000631155,4001,0,0.449518,-0.000767417,-9.72183,4001
10500901,-0.000479895,0.00132209,0.000903827,3997,0,0.428631,0.0364947,-9.72867,3997
10504906,-0.00106611,-0.000133344,0.00452752,4005,0,0.427198,0.0398661,-9.72969,4005
10508901,3.89235e-05,-0.0006623,0.00359063,3995,0,0.424296,-0.00140289,-9.73041,3995
10512902,0.00109424,0.00197301,0.00241112,4001,0,0.420686,0.0387515,-9.7412,4001
10516901,0.000261202,0.000151647,0.00145549,3999,0,0.406421,0.0424329,-9.74432,3999
10520901,0.00175011,-0.00186464,0.00128719,4000,0,0.412732,0.00215484,-9.71711,4000
10524901,0.00231673,0.00130131,-0.00107686,4000,0,0.420805,0.012695,-9.71713,4000
10528901,0.00168648,0.000657746,-0.00161215,4000,0,0.422897,0.0414285,-9.7617,4000
10532906,0.00362538,-0.000730748,-0.00210272,4005,0,0.424583,0.011208,-9.74969,4005
10536906,0.00123036,0.00238391,0.000495788,4000,0,0.435743,0.0211439,-9.72168,4000
10540901,0.000505442,0.00162459,-0.000894376,3995,0,0.409403,0.0568745,-9.75252,3995
10544901,0.00189469,0.0016192,-0.00129904,4000,0,0.42387,0.0237325,-9.76199,4000
10548901,0.00173718,5.61078e-05,0.00201364,4000,0,0.456768,0.00594153,-9.72752,4000
10552901,-0.000895473,0.00216543,0.000250614,4000,0,0.440673,0.0488464,-9.73624,4000
10556902,0.00134543,-0.00168241,0.000428252,4001,0,0.421963,0.0343493,-9.75732,4001
10560908,0.0014024,0.00240225,0.00304916,4006,0,0.443374,0.0105049,-9.69436,4006
10564902,0.00146027,0.00184318,-0.000456121,3994,0,0.440588,0.0594551,-9.72536,3994
10568903,-9.21345e-05,-0.00120892,0.00338272,4001,0,0.413956,0.0421701,-9.73801,4001
10572901,0.00151741,6.84248e-05,0.00297097,3998,0,0.438498,-0.00774588,-9.74231,3998
10576901,-0.00146698,0.00176355,0.00279994,4000,0,0.446983,0.0290173,-9.71359,4000
10580902,0.000290349,0.0002351,-0.000141206,4001,0,0.416843,0.0396508,-9.74744,4001
10584903,8.06152e-05,0.000131652,-0.000993302,4001,0,0.430516,0.00637719,-9.72837,4001
10588909,0.00124618,0.00173419,-0.000456934,4006,0,0.43365,0.0159934,-9.70974,4006
10592901,-0.000131637,-0.00189244,-0.00119061,3992,0,0.422335,0.0495419,-9.72465,3992
10596901,0.00198592,0.00141784,-0.000230983,4000,0,0.429596,0.0128693,-9.69456,4000
10721701,-0.000592037,0.00195951,0.00131841,4000,0,0.430867,0.0351849,-9.72394,4000
10725701,-0.000946009,0.00145409,0.00376872,4000,0,0.412788,0.0264466,-9.72212,4000
